PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,Embarked_C,Embarked_Q,Embarked_S,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Other
1,0,3,1,22.0,1,0,7.25,0,0,0,1,0,0,1,0,0
2,1,1,0,38.0,1,0,71.2833,1,1,0,0,0,0,0,1,0
3,1,3,0,26.0,0,0,7.925,0,0,0,1,0,1,0,0,0
4,1,1,0,35.0,1,0,53.1,1,0,0,1,0,0,0,1,0
5,0,3,1,35.0,0,0,8.05,0,0,0,1,0,0,1,0,0
6,0,3,1,29.881137667304014,0,0,8.4583,0,0,1,0,0,0,1,0,0
7,0,1,1,54.0,0,0,51.8625,1,0,0,1,0,0,1,0,0
8,0,3,1,2.0,3,1,21.075,0,0,0,1,1,0,0,0,0
9,1,3,0,27.0,0,2,11.1333,0,0,0,1,0,0,0,1,0
10,1,2,0,14.0,1,0,30.0708,0,1,0,0,0,0,0,1,0
11,1,3,0,4.0,1,1,16.7,1,0,0,1,0,1,0,0,0
12,1,1,0,58.0,0,0,26.55,1,0,0,1,0,1,0,0,0
13,0,3,1,20.0,0,0,8.05,0,0,0,1,0,0,1,0,0
14,0,3,1,39.0,1,5,31.275,0,0,0,1,0,0,1,0,0
15,0,3,0,14.0,0,0,7.8542,0,0,0,1,0,1,0,0,0
16,1,2,0,55.0,0,0,16.0,0,0,0,1,0,0,0,1,0
17,0,3,1,2.0,4,1,29.125,0,0,1,0,1,0,0,0,0
18,1,2,1,29.881137667304014,0,0,13.0,0,0,0,1,0,0,1,0,0
19,0,3,0,31.0,1,0,18.0,0,0,0,1,0,0,0,0,1
20,1,3,0,29.881137667304014,0,0,7.225,0,1,0,0,0,0,0,1,0
21,0,2,1,35.0,0,0,26.0,0,0,0,1,0,0,1,0,0
22,1,2,1,34.0,0,0,13.0,1,0,0,1,0,0,1,0,0
23,1,3,0,15.0,0,0,8.0292,0,0,1,0,0,1,0,0,0
24,1,1,1,28.0,0,0,35.5,1,0,0,1,0,0,1,0,0
