Survived,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,Embarked_C,Embarked_Q,Embarked_S,Title_Dr.,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Other,Title_Rev.,TicketNumber,TicketHasPort
0,530,2,1,23.0,2,1,11.5,0,0,0,1,0,0,0,1,0,0,0,29104,0
0,466,3,1,38.0,0,0,7.05,0,0,0,1,0,0,0,1,0,0,0,3101306,1
0,753,3,1,33.0,0,0,9.5,0,0,0,1,0,0,0,1,0,0,0,345780,0
0,855,2,0,44.0,1,0,26.0,0,0,0,1,0,0,0,0,1,0,0,244252,0
0,333,1,1,38.0,0,1,153.4625,1,0,0,1,0,0,0,1,0,0,0,17582,1
0,39,3,0,18.0,2,0,18.0,0,0,0,1,0,0,1,0,0,0,0,345764,0
0,236,3,0,29.355520000000002,0,0,7.55,0,0,0,1,0,0,1,0,0,0,0,6609,1
1,18,2,1,29.355520000000002,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,244373,0
1,505,1,0,16.0,0,0,86.5,1,0,0,1,0,0,1,0,0,0,0,110152,0
1,670,1,0,29.355520000000002,1,0,52.0,1,0,0,1,0,0,0,0,1,0,0,19996,0
1,316,3,0,26.0,0,0,7.8542,0,0,0,1,0,0,1,0,0,0,0,347470,0
1,690,1,0,15.0,0,1,211.3375,1,0,0,1,0,0,1,0,0,0,0,24160,0
1,718,2,0,27.0,0,0,10.5,1,0,0,1,0,0,1,0,0,0,0,34218,0
1,580,3,1,32.0,0,0,7.925,0,0,0,1,0,0,0,1,0,0,0,3101286,1
0,697,3,1,44.0,0,0,8.05,0,0,0,1,0,0,0,1,0,0,0,363592,0
1,193,3,0,19.0,1,0,7.8542,0,0,0,1,0,0,1,0,0,0,0,350046,0
0,634,1,1,29.355520000000002,0,0,0.0,0,0,0,1,0,0,0,1,0,0,0,112052,0
1,858,1,1,51.0,0,0,26.55,1,0,0,1,0,0,0,1,0,0,0,113055,0
1,329,3,0,31.0,1,1,20.525,0,0,0,1,0,0,0,0,1,0,0,363291,0
0,784,3,1,29.355520000000002,1,2,23.45,0,0,0,1,0,0,0,1,0,0,0,6607,1
0,407,3,1,51.0,0,0,7.75,0,0,0,1,0,0,0,1,0,0,0,347064,0
0,747,3,1,16.0,1,1,20.25,0,0,0,1,0,0,0,1,0,0,0,2673,1
0,492,3,1,21.0,0,0,7.25,0,0,0,1,0,0,0,1,0,0,0,3101317,1
1,534,3,0,29.355520000000002,0,2,22.3583,0,1,0,0,0,0,0,0,1,0,0,2668,0
0,862,2,1,21.0,1,0,11.5,0,0,0,1,0,0,0,1,0,0,0,28134,0
0,724,2,1,50.0,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,250643,0
0,685,2,1,60.0,1,1,39.0,0,0,0,1,0,0,0,1,0,0,0,29750,0
0,344,2,1,25.0,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,244361,0
1,751,2,0,4.0,1,1,23.0,0,0,0,1,0,0,1,0,0,0,0,29103,0
0,734,2,1,23.0,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,28425,0
0,496,3,1,29.355520000000002,0,0,14.4583,0,1,0,0,0,0,0,1,0,0,0,2627,0
0,296,1,1,29.355520000000002,0,0,27.7208,0,1,0,0,0,0,0,1,0,0,0,17612,1
0,516,1,1,47.0,0,0,34.0208,1,0,0,1,0,0,0,1,0,0,0,36967,0
0,282,3,1,28.0,0,0,7.8542,0,0,0,1,0,0,0,1,0,0,0,347464,0
0,218,2,1,42.0,1,0,27.0,0,0,0,1,0,0,0,1,0,0,0,243847,0
1,107,3,0,21.0,0,0,7.65,0,0,0,1,0,0,1,0,0,0,0,343120,0
0,878,3,1,19.0,0,0,7.8958,0,0,0,1,0,0,0,1,0,0,0,349212,0
1,291,1,0,26.0,0,0,78.85,0,0,0,1,0,0,1,0,0,0,0,19877,0
0,722,3,1,17.0,1,0,7.0542,0,0,0,1,0,0,0,1,0,0,0,350048,0
0,826,3,1,29.355520000000002,0,0,6.95,0,0,1,0,0,0,0,1,0,0,0,368323,0
0,434,3,1,17.0,0,0,7.125,0,0,0,1,0,0,0,1,0,0,0,3101274,1
0,404,3,1,28.0,1,0,15.85,0,0,0,1,0,0,0,1,0,0,0,3101279,1
1,210,1,1,40.0,0,0,31.0,1,1,0,0,0,0,0,1,0,0,0,112277,0
1,166,3,1,9.0,0,2,20.525,0,0,0,1,0,1,0,0,0,0,0,363291,0
0,201,3,1,28.0,0,0,9.5,0,0,0,1,0,0,0,1,0,0,0,345770,0
0,361,3,1,40.0,1,4,27.9,0,0,0,1,0,0,0,1,0,0,0,347088,0
1,53,1,0,49.0,1,0,76.7292,1,1,0,0,0,0,0,0,1,0,0,17572,1
0,612,3,1,29.355520000000002,0,0,7.05,0,0,0,1,0,0,0,1,0,0,0,3101305,1
0,60,3,1,11.0,5,2,46.9,0,0,0,1,0,1,0,0,0,0,0,2144,1
1,262,3,1,3.0,4,2,31.3875,0,0,0,1,0,1,0,0,0,0,0,347077,0
1,674,2,1,31.0,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,244270,0
0,63,1,1,45.0,1,0,83.475,1,0,0,1,0,0,0,1,0,0,0,36973,0
0,215,3,1,29.355520000000002,1,0,7.75,0,0,1,0,0,0,0,1,0,0,0,367229,0
0,618,3,0,26.0,1,0,16.1,0,0,0,1,0,0,0,0,1,0,0,3336,1
1,789,3,1,1.0,1,2,20.575,0,0,0,1,0,1,0,0,0,0,0,2315,1
1,312,1,0,18.0,2,2,262.375,1,1,0,0,0,0,1,0,0,0,0,17608,1
0,113,3,1,22.0,0,0,8.05,0,0,0,1,0,0,0,1,0,0,0,324669,0
0,314,3,1,28.0,0,0,7.8958,0,0,0,1,0,0,0,1,0,0,0,349243,0
1,517,2,0,34.0,0,0,10.5,1,0,0,1,0,0,0,0,1,0,0,34260,1
0,174,3,1,21.0,0,0,7.925,0,0,0,1,0,0,0,1,0,0,0,3101280,1
1,803,1,1,11.0,1,2,120.0,1,0,0,1,0,1,0,0,0,0,0,113760,0
0,479,3,1,22.0,0,0,7.5208,0,0,0,1,0,0,0,1,0,0,0,350060,0
1,445,3,1,29.355520000000002,0,0,8.1125,0,0,0,1,0,0,0,1,0,0,0,65306,0
0,684,3,1,14.0,5,2,46.9,0,0,0,1,0,0,0,1,0,0,0,2144,1
1,597,2,0,29.355520000000002,0,0,33.0,0,0,0,1,0,0,1,0,0,0,0,248727,0
0,229,2,1,18.0,0,0,13.0,0,0,0,1,0,0,0,1,0,0,0,236171,0
0,121,2,1,21.0,2,0,73.5,0,0,0,1,0,0,0,1,0,0,0,14879,1
0,526,3,1,40.5,0,0,7.75,0,0,1,0,0,0,0,1,0,0,0,367232,0
1,360,3,0,29.355520000000002,0,0,7.8792,0,0,1,0,0,0,1,0,0,0,0,330980,0
1,20,3,0,29.355520000000002,0,0,7.225,0,1,0,0,0,0,0,0,1,0,0,2649,0
0,28,1,1,19.0,3,2,263.0,1,0,0,1,0,0,0,1,0,0,0,19950,0
0,761,3,1,29.355520000000002,0,0,14.5,0,0,0,1,0,0,0,1,0,0,0,358585,0
1,487,1,0,35.0,1,0,90.0,1,0,0,1,0,0,0,0,1,0,0,19943,0
0,385,3,1,29.355520000000002,0,0,7.8958,0,0,0,1,0,0,0,1,0,0,0,349227,0
0,364,3,1,35.0,0,0,7.05,0,0,0,1,0,0,0,1,0,0,0,3101310,1
1,124,2,0,32.5,0,0,13.0,1,0,0,1,0,0,1,0,0,0,0,27267,0
0,165,3,1,1.0,4,1,39.6875,0,0,0,1,0,1,0,0,0,0,0,3101295,0
0,668,3,1,29.355520000000002,0,0,7.775,0,0,0,1,0,0,0,1,0,0,0,312993,0
0,596,3,1,36.0,1,1,24.15,0,0,0,1,0,0,0,1,0,0,0,345773,0
0,845,3,1,17.0,0,0,8.6625,0,0,0,1,0,0,0,1,0,0,0,315090,0
1,510,3,1,26.0,0,0,56.4958,0,0,0,1,0,0,0,1,0,0,0,1601,0
