Survived,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,Embarked_C,Embarked_Q,Embarked_S,Title_Master.,Title_Miss.,Title_Mr.,Title_Mrs.,Title_Other
0,530,2,1,23.0,2,1,11.5,0,0,0,1,0,0,1,0,0
0,466,3,1,38.0,0,0,7.05,0,0,0,1,0,0,1,0,0
0,753,3,1,33.0,0,0,9.5,0,0,0,1,0,0,1,0,0
0,855,2,0,44.0,1,0,26.0,0,0,0,1,0,0,0,1,0
0,333,1,1,38.0,0,1,153.4625,1,0,0,1,0,0,1,0,0
0,39,3,0,18.0,2,0,18.0,0,0,0,1,0,1,0,0,0
0,236,3,0,29.355520000000002,0,0,7.55,0,0,0,1,0,1,0,0,0
1,18,2,1,29.355520000000002,0,0,13.0,0,0,0,1,0,0,1,0,0
1,505,1,0,16.0,0,0,86.5,1,0,0,1,0,1,0,0,0
1,670,1,0,29.355520000000002,1,0,52.0,1,0,0,1,0,0,0,1,0
1,316,3,0,26.0,0,0,7.8542,0,0,0,1,0,1,0,0,0
1,690,1,0,15.0,0,1,211.3375,1,0,0,1,0,1,0,0,0
1,718,2,0,27.0,0,0,10.5,1,0,0,1,0,1,0,0,0
1,580,3,1,32.0,0,0,7.925,0,0,0,1,0,0,1,0,0
0,697,3,1,44.0,0,0,8.05,0,0,0,1,0,0,1,0,0
1,193,3,0,19.0,1,0,7.8542,0,0,0,1,0,1,0,0,0
0,634,1,1,29.355520000000002,0,0,0.0,0,0,0,1,0,0,1,0,0
1,858,1,1,51.0,0,0,26.55,1,0,0,1,0,0,1,0,0
1,329,3,0,31.0,1,1,20.525,0,0,0,1,0,0,0,1,0
0,784,3,1,29.355520000000002,1,2,23.45,0,0,0,1,0,0,1,0,0
0,407,3,1,51.0,0,0,7.75,0,0,0,1,0,0,1,0,0
0,747,3,1,16.0,1,1,20.25,0,0,0,1,0,0,1,0,0
0,492,3,1,21.0,0,0,7.25,0,0,0,1,0,0,1,0,0
1,534,3,0,29.355520000000002,0,2,22.3583,0,1,0,0,0,0,0,1,0
0,862,2,1,21.0,1,0,11.5,0,0,0,1,0,0,1,0,0
0,724,2,1,50.0,0,0,13.0,0,0,0,1,0,0,1,0,0
0,685,2,1,60.0,1,1,39.0,0,0,0,1,0,0,1,0,0
0,344,2,1,25.0,0,0,13.0,0,0,0,1,0,0,1,0,0
1,751,2,0,4.0,1,1,23.0,0,0,0,1,0,1,0,0,0
0,734,2,1,23.0,0,0,13.0,0,0,0,1,0,0,1,0,0
0,496,3,1,29.355520000000002,0,0,14.4583,0,1,0,0,0,0,1,0,0
0,296,1,1,29.355520000000002,0,0,27.7208,0,1,0,0,0,0,1,0,0
0,516,1,1,47.0,0,0,34.0208,1,0,0,1,0,0,1,0,0
0,282,3,1,28.0,0,0,7.8542,0,0,0,1,0,0,1,0,0
0,218,2,1,42.0,1,0,27.0,0,0,0,1,0,0,1,0,0
1,107,3,0,21.0,0,0,7.65,0,0,0,1,0,1,0,0,0
0,878,3,1,19.0,0,0,7.8958,0,0,0,1,0,0,1,0,0
1,291,1,0,26.0,0,0,78.85,0,0,0,1,0,1,0,0,0
0,722,3,1,17.0,1,0,7.0542,0,0,0,1,0,0,1,0,0
0,826,3,1,29.355520000000002,0,0,6.95,0,0,1,0,0,0,1,0,0
0,434,3,1,17.0,0,0,7.125,0,0,0,1,0,0,1,0,0
0,404,3,1,28.0,1,0,15.85,0,0,0,1,0,0,1,0,0
1,210,1,1,40.0,0,0,31.0,1,1,0,0,0,0,1,0,0
1,166,3,1,9.0,0,2,20.525,0,0,0,1,1,0,0,0,0
0,201,3,1,28.0,0,0,9.5,0,0,0,1,0,0,1,0,0
0,361,3,1,40.0,1,4,27.9,0,0,0,1,0,0,1,0,0
1,53,1,0,49.0,1,0,76.7292,1,1,0,0,0,0,0,1,0
0,612,3,1,29.355520000000002,0,0,7.05,0,0,0,1,0,0,1,0,0
0,60,3,1,11.0,5,2,46.9,0,0,0,1,1,0,0,0,0
1,262,3,1,3.0,4,2,31.3875,0,0,0,1,1,0,0,0,0
1,674,2,1,31.0,0,0,13.0,0,0,0,1,0,0,1,0,0
0,63,1,1,45.0,1,0,83.475,1,0,0,1,0,0,1,0,0
0,215,3,1,29.355520000000002,1,0,7.75,0,0,1,0,0,0,1,0,0
0,618,3,0,26.0,1,0,16.1,0,0,0,1,0,0,0,1,0
